id;Check;checkingpeer;state;Time
1;1;Ponanyli;Start;12:26:00
2;1;Ponanyli;Success;12:35:00
3;2;Ucerallb;Start;12:40:00
4;2;Ucerallb;Success;13:03:00
5;3;Katemede;Start;13:40:00
6;3;Katemede;Success;13:54:00
7;4;Ucerallb;Start;13:55:00
8;4;Ucerallb;Success;14:10:00
9;5;Naunggly;Start;14:14:00
10;5;Naunggly;Success;14:25:00
11;6;Katemede;Start;14:30:00
12;6;Katemede;Success;14:48:00
13;7;Mandreny;Start;14:50:00
14;7;Mandreny;Success;15:04:00
15;8;Westagar;Start;15:34:00
16;8;Westagar;Success;15:50:00
17;9;Toriaran;Start;15:58:00
18;9;Toriaran;Success;16:10:00
19;10;Jobinnne;Start;16:10:00
20;10;Jobinnne;Success;16:30:00
21;11;Mandreny;Start;16:30:00
22;11;Mandreny;Success;16:45:00
23;12;Dynarini;Start;16:45:00
24;12;Dynarini;Success;17:00:00
25;13;Naunggly;Start;17:00:00
26;13;Naunggly;Success;17:34:00
27;14;Thonimeo;Start;12:00:00
28;14;Thonimeo;Success;12:17:00
29;15;Oryadela;Start;12:20:00
30;15;Oryadela;Success;12:40:00
31;16;Jobinnne;Start;12:50:00
32;16;Jobinnne;Success;13:08:00
33;17;Mandreny;Start;13:08:00
34;17;Mandreny;Success;13:25:00
35;18;Westagar;Start;13:25:00
36;18;Westagar;Success;13:38:00
37;19;Oryadela;Start;13:38:00
38;19;Oryadela;Success;13:58:00
39;20;Naunggly;Start;13:58:00
40;20;Naunggly;Success;14:20:00
41;21;Katemede;Start;12:58:00
42;21;Katemede;Failure;13:40:00
43;22;Jobinnne;Start;13:40:00
44;22;Jobinnne;Success;14:00:00
45;23;Katemede;Start;13:40:00
46;23;Katemede;Success;14:00:00
47;24;Westagar;Start;14:00:00
48;24;Westagar;Failure;14:25:00
49;25;Deghayra;Start;14:25:00
50;25;Deghayra;Failure;14:50:00
51;26;Usicelar;Start;14:50:00
52;26;Usicelar;Success;15:10:00
53;27;Mandreny;Start;15:10:00
54;27;Mandreny;Failure;15:25:00
55;28;Westagar;Start;15:25:00
56;28;Westagar;Success;15:40:00
57;29;Thonimeo;Start;15:40:00
58;29;Thonimeo;Success;15:59:00
59;30;Tereraya;Start;15:59:00
60;30;Tereraya;Success;16:20:00
61;31;Dynarini;Start;12:00:00
62;31;Dynarini;Failure;12:20:00
63;32;Eileangi;Start;12:20:00
64;32;Eileangi;Success;12:45:00
65;33;Iemarias;Start;12:45:00
66;33;Iemarias;Success;12:59:00
67;34;Thonimeo;Start;13:10:00
68;34;Thonimeo;Success;13:28:00
69;35;Ucerallb;Start;13:28:00
70;35;Ucerallb;Success;13:47:00
71;36;Jamelstr;Start;12:28:00
72;36;Jamelstr;Success;12:50:00
73;37;Mandreny;Start;12:40:00
74;37;Mandreny;Failure;13:00:00
75;38;Iemarias;Start;13:00:00
76;38;Iemarias;Success;13:40:00
77;39;Pararlaf;Start;12:00:00
78;39;Pararlaf;Success;12:18:00
79;40;Nearache;Start;12:20:00
80;40;Nearache;Success;12:40:00
81;41;Jamelstr;Start;12:45:00
82;41;Jamelstr;Success;13:10:00
83;42;Eileangi;Start;13:10:00
84;42;Eileangi;Success;13:34:00
85;43;Jamelstr;Start;13:34:00
86;43;Jamelstr;Success;13:56:00
87;44;Oryadela;Start;12:34:00
88;44;Oryadela;Failure;12:50:00
89;45;Westagar;Start;12:50:00
90;45;Westagar;Success;13:15:00
91;46;Iemarias;Start;12:25:00
92;46;Iemarias;Success;12:40:00
93;47;Pararlaf;Start;12:40:00
94;47;Pararlaf;Success;12:59:00
95;48;Nearache;Start;12:59:00
96;48;Nearache;Success;13:24:00
97;49;Katemede;Start;13:30:00
98;49;Katemede;Success;13:56:00
99;50;Dynarini;Start;13:58:00
100;50;Dynarini;Success;14:15:00
101;51;Jobinnne;Start;12:00:00
102;51;Jobinnne;Success;12:15:00
103;52;Westagar;Start;12:20:00
104;52;Westagar;Success;12:40:00
105;53;Dynarini;Start;13:00:00
106;53;Dynarini;Success;13:27:00
107;54;Ucerallb;Start;13:30:00
108;54;Ucerallb;Failure;13:46:00
109;55;Oryadela;Start;13:50:00
110;55;Oryadela;Success;14:10:00
111;56;Jobinnne;Start;14:20:00
112;56;Jobinnne;Success;14:39:00
113;57;Iemarias;Start;14:40:00
114;57;Iemarias;Success;14:59:00
115;58;Thonimeo;Start;15:20:00
116;58;Thonimeo;Success;15:45:00
117;59;Nearache;Start;15:45:00
118;59;Nearache;Success;15:59:00
119;60;Jobinnne;Start;12:00:00
120;60;Jobinnne;Success;12:25:00
121;61;Katemede;Start;12:30:00
122;61;Katemede;Success;13:20:00
123;62;Nearache;Start;12:20:00
124;62;Nearache;Success;12:55:00
125;63;Iemarias;Start;13:00:00
126;63;Iemarias;Success;13:54:00
127;64;Toriaran;Start;13:00:00
128;64;Toriaran;Failure;13:54:00
129;65;Jamelstr;Start;14:00:00
